type,animation_id,animation_name
Chocobo/cyoko,84,Flapping End SW
Chocobo/cyoko,85,Flapping End NW
Chocobo/cyoko,86,Flapping Mid SW
Chocobo/cyoko,87,Flapping Mid NW
Chocobo/cyoko,88,Flap SW
Chocobo/cyoko,89,Flap NW
Chocobo/cyoko,90,Head Bang SW
Chocobo/cyoko,91,Head Bang NW
Chocobo/cyoko,92,Head Bang Mid SW
Chocobo/cyoko,93,Head Bang Mid NW
Chocobo/cyoko,94,Head Bang Reverse SW
Chocobo/cyoko,95,Head Bang Reverse NW
Chocobo/cyoko,96,Frozen Walk SW 2
Chocobo/cyoko,97,Frozen Walk NW 2
Chocobo/cyoko,98,Frozen Walk SW 3
Chocobo/cyoko,99,Frozen Walk NW 3
Chocobo/cyoko,100,Buffer?
Chocobo/cyoko,101,Buffer?
Chocobo/cyoko,102,MoveFindItem SW
Chocobo/cyoko,103,MoveFindItem NW
Chocobo/cyoko,104,To KnockedOut SW
Chocobo/cyoko,105,To KnockedOut NW
Chocobo/cyoko,106,Revived SW
Chocobo/cyoko,107,Revived NW
Chocobo/cyoko,108,To Critical SW
Chocobo/cyoko,109,To Critical NW
Chocobo/cyoko,110,Tackle? SW
Chocobo/cyoko,111,Tackle? NW
Chocobo/cyoko,112,Tackle SW
Chocobo/cyoko,113,Tackle NW
Chocobo/cyoko,114,Chest/Crystal Pickup SW
Chocobo/cyoko,115,Chest/Crystal Pickup NW
Chocobo/cyoko,116,Buffer?
Chocobo/cyoko,117,Buffer?
Chocobo/cyoko,118,Buffer?
Chocobo/cyoko,119,Buffer?
Chocobo/cyoko,120,Teleport? SW
Chocobo/cyoko,121,Teleport? NW
Chocobo/cyoko,122,Beak High SW
Chocobo/cyoko,123,Beak High NW
Chocobo/cyoko,124,Beak Mid SW
Chocobo/cyoko,125,Beak Mid NW
Chocobo/cyoko,126,Beak Low SW
Chocobo/cyoko,127,Beak Low NW
Chocobo/cyoko,128,Beak Error? SW
Chocobo/cyoko,129,Beak Error? NW
Chocobo/cyoko,130,Wark SW
Chocobo/cyoko,131,Wark NW
Chocobo/cyoko,132,Flap Cast SW
Chocobo/cyoko,133,Flap Cast NW
Chocobo/cyoko,134,Buffer?
Chocobo/cyoko,135,Buffer?
Chocobo/cyoko,136,Dance SW
Chocobo/cyoko,137,Dance NW
eff1,0,Swing High SW
eff1,1,Swing High NW
eff1,2,Swing Mid SW
eff1,3,Swing Mid NW
eff1,4,Swing Low SW
eff1,5,Swing Low NW
eff1,6,Gun/Bow High SW
eff1,7,Gun/Bow High NW
eff1,8,Gun/Bow Mid SW
eff1,9,Gun/Bow Mid NW
eff1,10,Gun/Bow Low SW
eff1,11,Gun/Bow Low NW
eff1,12,Piercing High SW
eff1,13,Piercing High NW
eff1,14,Piercing Mid SW
eff1,15,Piercing Mid NW
eff1,16,Piercing Low SW
eff1,17,Piercing Low NW
eff1,18,Throw Item High SW
eff1,19,Throw Item High NW
eff1,20,Throw Item Mid SW
eff1,21,Throw Item Mid NW
eff1,22,Throw Item Low SW
eff1,23,Throw Item Low NW
eff1,24,Throw Weapon SW
eff1,25,Throw Weapon NW
eff2 (Unused),0,
eff2 (Unused),1,
eff2 (Unused),2,
eff2 (Unused),3,
eff2 (Unused),4,
eff2 (Unused),5,
eff2 (Unused),6,
eff2 (Unused),7,
eff2 (Unused),8,
eff2 (Unused),9,
eff2 (Unused),10,
eff2 (Unused),11,
eff2 (Unused),12,
eff2 (Unused),13,
eff2 (Unused),14,
eff2 (Unused),15,
eff2 (Unused),16,
eff2 (Unused),17,
eff2 (Unused),18,
eff2 (Unused),19,
eff2 (Unused),20,
eff2 (Unused),21,
eff2 (Unused),22,
eff2 (Unused),23,
eff2 (Unused),24,
eff2 (Unused),25,
Altima2/kanzen,0,Blank
Altima2/kanzen,1,Face South (SW)
Altima2/kanzen,2,Face SouthWest
Altima2/kanzen,3,Face West (NW)
Altima2/kanzen,4,Face NorthWest
Altima2/kanzen,5,Face North (NW)
Altima2/kanzen,6,Walk SW
Altima2/kanzen,7,Walk NW
Altima2/kanzen,8,Walk Fast SW
Altima2/kanzen,9,Walk Fast NW
Altima2/kanzen,10,Walk Slow SW
Altima2/kanzen,11,Walk Slow NW
Altima2/kanzen,12,Buffer?
Altima2/kanzen,13,Buffer?
Altima2/kanzen,14,Buffer?
Altima2/kanzen,15,Buffer?
Altima2/kanzen,16,Buffer?
Altima2/kanzen,17,Buffer?
Altima2/kanzen,18,Buffer?
Altima2/kanzen,19,Buffer?
Altima2/kanzen,20,Buffer?
Altima2/kanzen,21,Buffer?
Altima2/kanzen,22,Buffer?
Altima2/kanzen,23,Buffer?
Altima2/kanzen,24,Walk To SW
Altima2/kanzen,25,Walk To NW
Altima2/kanzen,26,Walk To Fast SW
Altima2/kanzen,27,Walk To Fast NW
Altima2/kanzen,28,Walk To Slow SW
Altima2/kanzen,29,Walk To Slow NW
Altima2/kanzen,30,Spin?
Altima2/kanzen,31,Spin?
Altima2/kanzen,32,Spin?
Altima2/kanzen,33,Spin?
Altima2/kanzen,34,Spin?
Altima2/kanzen,35,Spin?
Altima2/kanzen,36,Spin?
Altima2/kanzen,37,Spin?
Altima2/kanzen,38,Spin?
Altima2/kanzen,39,Spin?
Altima2/kanzen,40,Spin?
Altima2/kanzen,41,Spin?
Altima2/kanzen,42,Spin?
Altima2/kanzen,43,Spin?
Altima2/kanzen,44,
Altima2/kanzen,45,
Altima2/kanzen,46,
Altima2/kanzen,47,
Altima2/kanzen,48,
Altima2/kanzen,49,
Altima2/kanzen,50,
Altima2/kanzen,51,
Altima2/kanzen,52,
Altima2/kanzen,53,
Altima2/kanzen,54,
Altima2/kanzen,55,
Altima2/kanzen,56,
Altima2/kanzen,57,
Altima2/kanzen,58,Buffer?
Altima2/kanzen,59,Buffer?
Altima2/kanzen,60,
Altima2/kanzen,61,
Altima2/kanzen,62,Buffer?
Altima2/kanzen,63,Buffer?
Altima2/kanzen,64,
Altima2/kanzen,65,
Altima2/kanzen,66,
Altima2/kanzen,67,
Altima2/kanzen,68,
Altima2/kanzen,69,
Altima2/kanzen,70,
Altima2/kanzen,71,
Altima2/kanzen,72,
Altima2/kanzen,73,
Altima2/kanzen,74,
Altima2/kanzen,75,
Altima2/kanzen,76,Buffer?
Altima2/kanzen,77,Buffer?
Altima2/kanzen,78,Buffer?
Altima2/kanzen,79,Buffer?
Altima2/kanzen,80,Buffer?
Altima2/kanzen,81,Buffer?
Altima2/kanzen,82,Buffer?
Altima2/kanzen,83,Buffer?
Altima2/kanzen,84,
Altima2/kanzen,85,
Altima2/kanzen,86,
Altima2/kanzen,87,
Altima2/kanzen,88,
Altima2/kanzen,89,
Altima2/kanzen,90,Buffer?
Altima2/kanzen,91,Buffer?
Altima2/kanzen,92,Buffer?
Altima2/kanzen,93,Buffer?
Altima2/kanzen,94,Buffer?
Altima2/kanzen,95,Buffer?
Altima2/kanzen,96,
Altima2/kanzen,97,
Altima2/kanzen,98,
Altima2/kanzen,99,
Altima2/kanzen,100,Buffer?
Altima2/kanzen,101,Buffer?
Altima2/kanzen,102,
Altima2/kanzen,103,
Altima2/kanzen,104,
Altima2/kanzen,105,
Altima2/kanzen,106,
Altima2/kanzen,107,
Altima2/kanzen,108,
Altima2/kanzen,109,
Altima2/kanzen,110,
Altima2/kanzen,111,
Altima2/kanzen,112,
Altima2/kanzen,113,
Altima2/kanzen,114,MoveFindItem? SW
Altima2/kanzen,115,MoveFindItem? NW
Altima2/kanzen,116,Buffer?
Altima2/kanzen,117,Buffer?
Altima2/kanzen,118,Buffer?
Altima2/kanzen,119,Buffer?
Altima2/kanzen,120,
Altima2/kanzen,121,
Altima2/kanzen,122,Attack High SW
Altima2/kanzen,123,Attack High NW
Altima2/kanzen,124,Attack Mid SW
Altima2/kanzen,125,Attack Mid NW
Altima2/kanzen,126,Attack Low SW
Altima2/kanzen,127,Attack Low NW
Altima2/kanzen,128,
Altima2/kanzen,129,
Altima2/kanzen,130,
Altima2/kanzen,131,
Altima2/kanzen,132,
Altima2/kanzen,133,
Altima2/kanzen,134,
Altima2/kanzen,135,
Altima2/kanzen,136,Attack? SW
Altima2/kanzen,137,Attack? NW
Monster/mon,0,Blank
Monster/mon,1,Face South (SW)
Monster/mon,2,Face SouthWest
Monster/mon,3,Face West (NW)
Monster/mon,4,Face NorthWest
Monster/mon,5,Face North (NW)
Monster/mon,6,Walk SW
Monster/mon,7,Walk NW
Monster/mon,8,Walk Fast SW
Monster/mon,9,Walk Fast NW
Monster/mon,10,Walk Slow SW
Monster/mon,11,Walk Slow NW
Monster/mon,12,Walk Short? SW
Monster/mon,13,Walk Short? NW
Monster/mon,14,Walk Short? Fast SW
Monster/mon,15,Walk Short? Fast NW
Monster/mon,16,Walk Short? Slow SW
Monster/mon,17,Walk Short? Slow NW
Monster/mon,18,Buffer?
Monster/mon,19,Buffer?
Monster/mon,20,Buffer?
Monster/mon,21,Buffer?
Monster/mon,22,Buffer?
Monster/mon,23,Buffer?
Monster/mon,24,
Monster/mon,25,
Monster/mon,26,
Monster/mon,27,
Monster/mon,28,
Monster/mon,29,
Monster/mon,30,
Monster/mon,31,
Monster/mon,32,
Monster/mon,33,
Monster/mon,34,
Monster/mon,35,
Monster/mon,36,
Monster/mon,37,
Monster/mon,38,
Monster/mon,39,
Monster/mon,40,
Monster/mon,41,
Monster/mon,42,Spin SW
Monster/mon,43,Spin NW
Monster/mon,44,Charge? SW
Monster/mon,45,Charge? NW
Monster/mon,46,
Monster/mon,47,
Monster/mon,48,Evade? SW
Monster/mon,49,Evade? NW
Monster/mon,50,Take Damage SW
Monster/mon,51,Take Damage NW
Monster/mon,52,KnockedOut SW
Monster/mon,53,KnockedOut NW
Monster/mon,54,
Monster/mon,55,
Monster/mon,56,
Monster/mon,57,
Monster/mon,58,Buffer?
Monster/mon,59,Buffer?
Monster/mon,60,
Monster/mon,61,
Monster/mon,62,
Monster/mon,63,
Monster/mon,64,
Monster/mon,65,
Monster/mon,66,
Monster/mon,67,
Monster/mon,68,
Monster/mon,69,
Monster/mon,70,
Monster/mon,71,
Monster/mon,72,Critical? SW
Monster/mon,73,Critical? NW
Monster/mon,74,
Monster/mon,75,
Monster/mon,76,Buffer?
Monster/mon,77,Buffer?
Monster/mon,78,Buffer?
Monster/mon,79,Buffer?
Monster/mon,80,Buffer?
Monster/mon,81,Buffer?
Monster/mon,82,Buffer?
Monster/mon,83,Buffer?
Monster/mon,84,
Monster/mon,85,
Monster/mon,86,
Monster/mon,87,
Monster/mon,88,
Monster/mon,89,
Monster/mon,90,Buffer?
Monster/mon,91,Buffer?
Monster/mon,92,Buffer?
Monster/mon,93,Buffer?
Monster/mon,94,Buffer?
Monster/mon,95,Buffer?
Monster/mon,96,
Monster/mon,97,
Monster/mon,98,
Monster/mon,99,
Monster/mon,100,Buffer?
Monster/mon,101,Buffer?
Monster/mon,102,MoveFindItem Error? SW
Monster/mon,103,MoveFindItem Error? NW
Monster/mon,104,Death Bounce SW
Monster/mon,105,Death Bounce NW
Monster/mon,106,
Monster/mon,107,
Monster/mon,108,
Monster/mon,109,
Monster/mon,110,
Monster/mon,111,
Monster/mon,112,
Monster/mon,113,
Monster/mon,114,
Monster/mon,115,
Monster/mon,116,Buffer?
Monster/mon,117,Buffer?
Monster/mon,118,
Monster/mon,119,
Monster/mon,120,
Monster/mon,121,
Monster/mon,122,Jump Attack? SW
Monster/mon,123,Jump Attack? NW
Monster/mon,124,Attack High SW
Monster/mon,125,Attack High NW
Monster/mon,126,Attack Low SW
Monster/mon,127,Attack Low NW
Monster/mon,128,Attack Blocked? SW
Monster/mon,129,Attack Blocked? NW
Monster/mon,130,
Monster/mon,131,
Monster/mon,132,
Monster/mon,133,
Monster/mon,134,
Monster/mon,135,
Monster/mon,136,
Monster/mon,137,
Monster/mon,138,
Monster/mon,139,
Monster/mon,140,
Monster/mon,141,
Monster/mon,142,
Monster/mon,143,
Monster/mon,144,
Monster/mon,145,
Monster/mon,146,
Monster/mon,147,
Monster/mon,148,
Monster/mon,149,
Monster/mon,150,
Monster/mon,151,
Monster/mon,152,
Monster/mon,153,
Monster/mon,154,
Monster/mon,155,
Monster/mon,156,
Monster/mon,157,
Monster/mon,158,
Monster/mon,159,
Monster/mon,160,
Monster/mon,161,
Monster/mon,162,
Monster/mon,163,
Monster/mon,164,
Monster/mon,165,
Monster/mon,166,
Monster/mon,167,
Monster/mon,168,
Monster/mon,169,
Monster/mon,170,
Monster/mon,171,
Monster/mon,172,
Monster/mon,173,
Monster/mon,174,
Monster/mon,175,
Monster/mon,176,
Monster/mon,177,
Monster/mon,178,
Monster/mon,179,
Monster/mon,180,
Monster/mon,181,
Monster/mon,182,
Monster/mon,183,
Monster/mon,184,
Monster/mon,185,
Monster/mon,186,
Monster/mon,187,
Monster/mon,188,
Monster/mon,189,
Monster/mon,190,Buffer?
Monster/mon,191,Buffer?
Monster/mon,192,Buffer?
Monster/mon,193,Buffer?
Monster/mon,194,Bomb Explode? SW
Monster/mon,195,Bomb Explode? NW
Monster/mon,196,
Monster/mon,197,
Monster/mon,198,
Monster/mon,199,
Monster/mon,200,
Monster/mon,201,
Monster/mon,202,
Monster/mon,203,
Monster/mon,204,
Monster/mon,205,
Monster/mon,206,
Monster/mon,207,
Monster/mon,208,
Monster/mon,209,
Monster/mon,210,
Monster/mon,211,
Monster/mon,212,
Monster/mon,213,
Monster/mon,214,
Monster/mon,215,
Monster/mon,216,
Monster/mon,217,
Monster/mon,218,
Monster/mon,219,
Monster/mon,220,
Monster/mon,221,
Monster/mon,222,
Monster/mon,223,
Monster/mon,224,
Monster/mon,225,
Monster/mon,226,
Monster/mon,227,
Monster/mon,228,
Monster/mon,229,
Monster/mon,230,Iron Giant sp5?
Monster/mon,231,Iron Giant sp5?
Monster/mon,232,Iron Giant sp4?
Monster/mon,233,Iron Giant sp4?
Monster/mon,234,Iron Giant sp2?
Monster/mon,235,Iron Giant sp2?
Monster/mon,236,Iron Giant sp3?
Monster/mon,237,Iron Giant sp3?
other,0,Blank
other,1,Face South (SW)
other,2,Face SouthWest
other,3,Face West (NW)
other,4,Face NorthWest
other,5,Face North (NW)
other,6,Walk SW
other,7,Walk NW
other,8,Walk Fast SW
other,9,Walk Fast NW
other,10,Walk Slow SW
other,11,Walk Slow NW
other,12,
other,13,
other,14,
other,15,
other,16,
other,17,
other,18,Spin?
other,19,Spin?
other,20,Buffer?
other,21,Buffer?
other,22,Buffer?
other,23,Buffer?
other,24,Walk To SW
other,25,Walk To NW
other,26,Walk To Fast SW
other,27,Walk To Fast NW
other,28,Walk To Slow SW
other,29,Walk To Slow NW
other,30,
other,31,
other,32,
other,33,
other,34,
other,35,
other,36,Buffer?
other,37,Buffer?
other,38,Buffer?
other,39,Buffer?
other,40,Buffer?
other,41,Buffer?
other,42,Chest SW
other,43,Chest NW
other,44,Frozen?
other,45,Frozen?
other,46,Frozen?
other,47,Frozen?
other,48,
other,49,
other,50,
other,51,
other,52,
other,53,
other,54,
other,55,
other,56,
other,57,
other,58,
other,59,
other,60,
other,61,
other,62,Buffer?
other,63,Buffer?
other,64,
other,65,
other,66,
other,67,
other,68,
other,69,
other,70,
other,71,
other,72,
other,73,
other,74,
other,75,
other,76,Buffer?
other,77,Buffer?
other,78,Buffer?
other,79,Buffer?
other,80,Buffer?
other,81,Buffer?
other,82,Buffer?
other,83,Buffer?
other,84,
other,85,
other,86,
other,87,
other,88,
other,89,
other,90,Buffer?
other,91,Buffer?
other,92,Buffer?
other,93,Buffer?
other,94,Buffer?
other,95,Buffer?
other,96,
other,97,
other,98,
other,99,
other,100,
other,101,
other,102,
other,103,
other,104,
other,105,
other,106,
other,107,
other,108,
other,109,
other,110,
other,111,
other,112,
other,113,
other,114,
other,115,
other,116,Buffer?
other,117,Buffer?
other,118,
other,119,
other,120,
other,121,
other,122,
other,123,
other,124,
other,125,
other,126,
other,127,
Lucavi/ruka,0,Blank
Lucavi/ruka,1,Face South (SW)
Lucavi/ruka,2,Face SouthWest
Lucavi/ruka,3,Face West (NW)
Lucavi/ruka,4,Face NorthWest
Lucavi/ruka,5,Face North (NW)
Lucavi/ruka,6,Walk SW
Lucavi/ruka,7,Walk NW
Lucavi/ruka,8,Walk Fast SW
Lucavi/ruka,9,Walk Fast NW
Lucavi/ruka,10,Walk Slow SW
Lucavi/ruka,11,Walk Slow NW
Lucavi/ruka,12,
Lucavi/ruka,13,
Lucavi/ruka,14,
Lucavi/ruka,15,
Lucavi/ruka,16,
Lucavi/ruka,17,
Lucavi/ruka,18,Buffer?
Lucavi/ruka,19,Buffer?
Lucavi/ruka,20,Buffer?
Lucavi/ruka,21,Buffer?
Lucavi/ruka,22,Buffer?
Lucavi/ruka,23,Buffer?
Lucavi/ruka,24,
Lucavi/ruka,25,
Lucavi/ruka,26,
Lucavi/ruka,27,
Lucavi/ruka,28,
Lucavi/ruka,29,
Lucavi/ruka,30,
Lucavi/ruka,31,
Lucavi/ruka,32,
Lucavi/ruka,33,
Lucavi/ruka,34,
Lucavi/ruka,35,
Lucavi/ruka,36,
Lucavi/ruka,37,
Lucavi/ruka,38,
Lucavi/ruka,39,
Lucavi/ruka,40,
Lucavi/ruka,41,
Lucavi/ruka,42,Spin SW
Lucavi/ruka,43,Spin NW
Lucavi/ruka,44,Frozen?
Lucavi/ruka,45,Frozen?
Lucavi/ruka,46,Frozen?
Lucavi/ruka,47,Frozen?
Lucavi/ruka,48,
Lucavi/ruka,49,
Lucavi/ruka,50,Take Damage SW?
Lucavi/ruka,51,Take Damage NW?
Lucavi/ruka,52,Take Damage SW?
Lucavi/ruka,53,Take Damage NW?
Lucavi/ruka,54,
Lucavi/ruka,55,
Lucavi/ruka,56,
Lucavi/ruka,57,
Lucavi/ruka,58,Buffer?
Lucavi/ruka,59,Buffer?
Lucavi/ruka,60,
Lucavi/ruka,61,
Lucavi/ruka,62,
Lucavi/ruka,63,
Lucavi/ruka,64,
Lucavi/ruka,65,
Lucavi/ruka,66,
Lucavi/ruka,67,
Lucavi/ruka,68,
Lucavi/ruka,69,
Lucavi/ruka,70,
Lucavi/ruka,71,
Lucavi/ruka,72,
Lucavi/ruka,73,
Lucavi/ruka,74,
Lucavi/ruka,75,
Lucavi/ruka,76,Buffer?
Lucavi/ruka,77,Buffer?
Lucavi/ruka,78,Buffer?
Lucavi/ruka,79,Buffer?
Lucavi/ruka,80,Buffer?
Lucavi/ruka,81,Buffer?
Lucavi/ruka,82,Buffer?
Lucavi/ruka,83,Buffer?
Lucavi/ruka,84,
Lucavi/ruka,85,
Lucavi/ruka,86,
Lucavi/ruka,87,
Lucavi/ruka,88,
Lucavi/ruka,89,
Lucavi/ruka,90,Buffer?
Lucavi/ruka,91,Buffer?
Lucavi/ruka,92,Buffer?
Lucavi/ruka,93,Buffer?
Lucavi/ruka,94,Buffer?
Lucavi/ruka,95,Buffer?
Lucavi/ruka,96,
Lucavi/ruka,97,
Lucavi/ruka,98,
Lucavi/ruka,99,
Lucavi/ruka,100,Buffer?
Lucavi/ruka,101,Buffer?
Lucavi/ruka,102,
Lucavi/ruka,103,
Lucavi/ruka,104,
Lucavi/ruka,105,
Lucavi/ruka,106,
Lucavi/ruka,107,
Lucavi/ruka,108,
Lucavi/ruka,109,
Lucavi/ruka,110,
Lucavi/ruka,111,
Lucavi/ruka,112,
Lucavi/ruka,113,
Lucavi/ruka,114,
Lucavi/ruka,115,
Lucavi/ruka,116,Buffer?
Lucavi/ruka,117,Buffer?
Lucavi/ruka,118,Buffer?
Lucavi/ruka,119,Buffer?
Lucavi/ruka,120,
Lucavi/ruka,121,
Lucavi/ruka,122,Jump Attack? SW
Lucavi/ruka,123,Jump Attack? NW
Lucavi/ruka,124,Attack High? SW
Lucavi/ruka,125,Attack High? NW
Lucavi/ruka,126,Attack Low? SW
Lucavi/ruka,127,Attack Low? NW
Lucavi/ruka,128,
Lucavi/ruka,129,
Lucavi/ruka,130,
Lucavi/ruka,131,
Lucavi/ruka,132,
Lucavi/ruka,133,
Lucavi/ruka,134,
Lucavi/ruka,135,
Lucavi/ruka,136,
Lucavi/ruka,137,
Lucavi/ruka,138,
Lucavi/ruka,139,
Lucavi/ruka,140,
Lucavi/ruka,141,
Lucavi/ruka,142,
Lucavi/ruka,143,
Lucavi/ruka,144,
Lucavi/ruka,145,
Lucavi/ruka,146,
Lucavi/ruka,147,
Lucavi/ruka,148,
Lucavi/ruka,149,
Lucavi/ruka,150,
Lucavi/ruka,151,
Lucavi/ruka,152,
Lucavi/ruka,153,
Lucavi/ruka,154,
Lucavi/ruka,155,
Lucavi/ruka,156,
Lucavi/ruka,157,
Lucavi/ruka,158,
Lucavi/ruka,159,
Lucavi/ruka,160,
Lucavi/ruka,161,
Lucavi/ruka,162,
Lucavi/ruka,163,
Lucavi/ruka,164,
Lucavi/ruka,165,
Lucavi/ruka,166,
Lucavi/ruka,167,
Lucavi/ruka,168,
Lucavi/ruka,169,
